plan_id,local_development_framework_number
50bcfea0-7f33-47f6-aa0f-e041d9dc868e,1807
864b5265-0f48-42d0-ac2e-e987fe5073f8,1509
dae4fee0-67da-4a86-9866-21747547ea10,2062
46f938fa-79f8-461d-b9ed-7a3354d92e40,1372
b35b2ea5-ea2c-419d-958a-286ff6f3cd41,1856
beccd40e-da67-45a7-bdfa-c11004e60d49,284
9a6adacc-51d0-4d89-bc0c-cf717e549372,1211
36b8bb00-2be7-4242-89fa-1fd54ca7bff2,1316
700c13cc-11f3-4b83-b7cd-c3b47e655842,2092
6e6621ed-7095-4f3a-901c-8477bad6e802,199
62a44b10-cdc6-4f7f-ba96-c60decf184ff,1168
39b6a87b-43e3-4483-b229-de8f207a9053,1767
d9529aa8-ced5-44a8-b346-b8c71faa82da,1533
07c8f922-782d-4cb8-9134-56b28df58f2f,1747
61bd5d04-0ba0-4210-b305-495fe8ad8bc7,437
e678fd93-84a0-49f0-af8e-9bd339ea2d21,1901
2be3bc2f-67c2-4e1e-ab07-aa5df549bf8d,1693
022aa306-998a-46f1-9fab-302f0bf8cdec,1485
9132b9e3-f3b8-4a11-822d-ee288294313e,965
1ac65a2e-3457-4033-a5db-f06dc73a257e,1052
5d138aa0-fa2f-4767-9bbf-710a21e87ea0,1425
67b93853-f801-43fd-ab35-7798b6071256,1740
54ee799a-3874-4a32-82ee-c5632b7c4b69,550
c39f1ea7-c037-429f-be7e-45d3f3ad928e,1123
fc42cabb-a43b-4985-85a7-6bf3b4b90f27,1873
34e96a04-b95b-4812-8abd-72b1b2807189,418
fc42cabb-a43b-4985-85a7-6bf3b4b90f27,1873
fc42cabb-a43b-4985-85a7-6bf3b4b90f27,1873
8c07a862-73a3-4437-bb83-e3ecdd898bec,1133
fc42cabb-a43b-4985-85a7-6bf3b4b90f27,1873
ac0c21f8-0035-4190-ac6d-31803fc784f4,1819
cd0ce8db-58e3-4705-8a95-5e92dfe5ab39,456
6f964803-73ae-4e23-b16b-8f795a2fd1f3,1097
1d9933b6-9107-439d-8566-d847fe7b3757,1850
60e20958-1eba-4aca-bed4-dca99d89ca8d,1386
817612ba-ef60-45e6-84b2-5229ab0eb559,945
12667eb0-cc73-47bb-8ff0-69487a91411e,1886
211efb01-2f53-482c-95b0-0f12ca199dae,1709
79c434af-fe88-4968-957f-a354a762ef4d,595
9ce4ba00-7857-4f9b-916d-9f8ef953c050,1456
450e04d8-3727-494c-ae14-02bebd605939,381
